Colors,V,dV,Peak wavelength,d l,pv/e 1,pv/e 2,sigma,BlueWave,Blue_I,Peak v/e Blue,OrangeWave,Orange_I,Peak v/e Orange,RedWave,Red_I,Peak v/e Red,YellowWave,Yellow_I,Peak v/e Yellow
,,,,,,,,225.34,-7.32,,225.34,11.09,,225.34,3.2,,225.34,-113.32,
,,,,,,,,225.56,-2.31,,225.56,20.92,,225.56,9.22,,225.56,-39.59,
,,,,,,,,225.78,-5.36,,225.78,21.67,,225.78,20.44,,225.78,288.76,
,,,,,,,,226,6.06,,226,9.93,,226,14.46,,226,214.35,
,,,,,,,,226.22,-1.49,,226.22,1.54,,226.22,10.2,,226.22,169.98,
,,,,,,,,226.44,3.47,,226.44,7,,226.44,9.47,,226.44,14.34,
,,,,,,,,226.66,-5.68,,226.66,12.05,,226.66,25.22,,226.66,94.89,
,,,,,,,,226.88,-1.31,,226.88,13,,226.88,21.29,,226.88,101.03,
,,,,,,,,227.1,-13.14,,227.1,3.86,,227.1,12.71,,227.1,6.83,
,,,,,,,,227.32,-4.63,,227.32,5.7,,227.32,4.91,,227.32,-45.06,
,,,,,,,,227.54,-4.63,,227.54,-2.22,,227.54,2.35,,227.54,-75.09,
,,,,,,,,227.77,0.83,,227.77,-5.84,,227.77,8.62,,227.77,21.16,
,,,,,,,,227.99,-1.63,,227.99,-9.11,,227.99,4.31,,227.99,85.33,
,,,,,,,,228.21,4.56,,228.21,11.09,,228.21,15.45,,228.21,132.44,
,,,,,,,,228.43,6.2,,228.43,14.71,,228.43,19.37,,228.43,192.51,
,,,,,,,,228.65,3.93,,228.65,15.94,,228.65,17.28,,228.65,256.68,
,,,,,,,,228.87,1.24,,228.87,2.63,,228.87,12.67,,228.87,147.45,
,,,,,,,,229.09,-1.9,,229.09,6.79,,229.09,9.73,,229.09,163.15,
,,,,,,,,229.31,-2.76,,229.31,-1.88,,229.31,12.29,,229.31,40.96,
,,,,,,,,229.53,-5.54,,229.53,-1.54,,229.53,17.07,,229.53,159.74,
,,,,,,,,229.75,3.11,,229.75,-12.19,,229.75,12.97,,229.75,32.08,
,,,,,,,,229.97,1.47,,229.97,5.5,,229.97,25,,229.97,134.48,
,,,,,,,,230.19,-2.49,,230.19,9.73,,230.19,15.23,,230.19,133.12,
,,,,,,,,230.41,-7.91,,230.41,33.14,,230.41,28.2,,230.41,342.01,
,,,,,,,,230.64,-5.59,,230.64,23.04,,230.64,16.55,,230.64,305.83,
,,,,,,,,230.86,-1.26,,230.86,33.14,,230.86,26.11,,230.86,292.18,
,,,,,,,,231.08,-2.45,,231.08,30.62,,231.08,14.89,,231.08,206.84,
,,,,,,,,231.3,-3.36,,231.3,39.15,,231.3,16.09,,231.3,348.15,
,,,,,,,,231.52,-3.81,,231.52,18.4,,231.52,3.58,,231.52,216.4,
,,,,,,,,231.74,-4.45,,231.74,6.04,,231.74,2.22,,231.74,107.18,
,,,,,,,,231.96,-8.41,,231.96,-3.11,,231.96,4.78,,231.96,12.97,
,,,,,,,,232.18,-7.22,,232.18,1.33,,232.18,18.77,,232.18,227.32,
,,,,,,,,232.4,-6.86,,232.4,2.01,,232.4,15.1,,232.4,268.97,
,,,,,,,,232.62,-4.68,,232.62,5.5,,232.62,6.23,,232.62,89.43,
,,,,,,,,232.84,-9.91,,232.84,1.19,,232.84,-5.55,,232.84,-220.5,
,,,,,,,,233.06,-6.45,,233.06,5.29,,233.06,0.73,,233.06,-211.62,
,,,,,,,,233.28,-11.18,,233.28,2.42,,233.28,3.33,,233.28,-79.87,
,,,,,,,,233.5,-4.45,,233.5,9.39,,233.5,15.45,,233.5,70.31,
,,,,,,,,233.72,-6.68,,233.72,10,,233.72,13.35,,233.72,113.32,
,,,,,,,,233.94,2.38,,233.94,18.6,,233.94,13.48,,233.94,3.41,
,,,,,,,,234.16,-0.94,,234.16,18.4,,234.16,7.72,,234.16,42.32,
,,,,,,,,234.38,1.33,,234.38,17.44,,234.38,12.67,,234.38,-24.58,
,,,,,,,,234.61,-6.54,,234.61,6.45,,234.61,10.15,,234.61,43.69,
,,,,,,,,234.83,-4.95,,234.83,13.82,,234.83,1.62,,234.83,108.54,
,,,,,,,,235.05,-9.41,,235.05,1.33,,235.05,-6.19,,235.05,152.23,
,,,,,,,,235.27,3.47,,235.27,6.72,,235.27,2.77,,235.27,143.36,
,,,,,,,,235.49,-1.58,,235.49,2.15,,235.49,14.59,,235.49,97.62,
,,,,,,,,235.71,0.06,,235.71,10.07,,235.71,17.37,,235.71,-53.93,
,,,,,,,,235.93,-13.37,,235.93,14.71,,235.93,15.27,,235.93,53.25,
,,,,,,,,236.15,-5.59,,236.15,15.19,,236.15,24.28,,236.15,114.69,
