,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Incandescent,,,,Fluorescent,,,,Halogen,,,,Hydrogen,,,,Helium,,,,LED,,,,Green Laser,,,,Red Laser,,,,Green Laser Again,,
,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L
,,183.33,37.55,0.204821905852834,,183.33,8.38,0.0457099219985818,,183.33,56.91,0.310423825887743,,183.33,16.62,0.0906561937489773,,183.33,5.11,0.0278732340588011,,183.33,70.4,0.384006981945126,,183.33,-3.35,-0.0182730595101729,,183.33,-3.35,-0.0182730595101729,,183.33,13.31,0.0726013200240004
,,183.56,48.24,0.262802353453912,,183.56,2.55,0.0138919154499891,,183.56,138.98,0.757136631074308,,183.56,63.18,0.344192634560907,,183.56,3.65,0.0198845064284158,,183.56,101.63,0.553660928306821,,183.56,-1.16,-0.00631945957724995,,183.56,-1.16,-0.00631945957724995,,183.56,3.89,0.0211919808237089
,,183.78,56.89,0.309554902600936,,183.78,10.11,0.0550114267058439,,183.78,244.71,1.33153770812929,,183.78,153.56,0.835564261617151,,183.78,2.79,0.015181194906954,,183.78,189.69,1.03215801501796,,183.78,10.17,0.0553379040156709,,183.78,10.17,0.0553379040156709,,183.78,6.89,0.03749047774513
,,184.01,40.73,0.221346665942068,,184.01,7.66,0.0416281723819358,,184.01,190.56,1.03559589152763,,184.01,106.87,0.580783653062334,,184.01,3.03,0.016466496386066,,184.01,140.37,0.762838976142601,,184.01,13.45,0.0730938535949133,,184.01,13.45,0.0730938535949133,,184.01,10.85,0.0589641867289821
,,184.23,42.55,0.230961298377029,,184.23,13.94,0.0756662867068338,,184.23,151.42,0.821907398360745,,184.23,77.38,0.42001845519188,,184.23,6.67,0.0362047440699126,,184.23,125.01,0.678553981436248,,184.23,15.91,0.0863594420018455,,184.23,15.91,0.0863594420018455,,184.23,29.83,0.161917168756446
,,184.45,18.2,0.0986717267552182,,184.45,5.82,0.0315532664678775,,184.45,-37.53,-0.203469775006777,,184.45,-59.56,-0.322905936568176,,184.45,4.29,0.0232583355923014,,184.45,-17.15,-0.0929791271347249,,184.45,-5.12,-0.0277582000542152,,184.45,-5.12,-0.0277582000542152,,184.45,25.46,0.138031986988344
,,184.68,49.38,0.267381416504224,,184.68,8.08,0.0437513536928742,,184.68,59.64,0.322936972059779,,184.68,18.81,0.101851851851852,,184.68,6.27,0.0339506172839506,,184.68,61.87,0.335011912497293,,184.68,6.76,0.0366038553173056,,184.68,6.76,0.0366038553173056,,184.68,22.6,0.122373835824128
,,184.9,53.02,0.286749594375338,,184.9,6.37,0.0344510546241211,,184.9,-31.46,-0.170146024878313,,184.9,-25.98,-0.140508382909681,,184.9,4.67,0.0252568956192537,,184.9,-23.47,-0.126933477555435,,184.9,-10.44,-0.0564629529475392,,184.9,-10.44,-0.0564629529475392,,184.9,11.26,0.0608977825851812
,,185.12,61.89,0.334323681936041,,185.12,6.78,0.0366248919619706,,185.12,33.39,0.180369490060501,,185.12,25.91,0.139963267070009,,185.12,5.32,0.0287381158167675,,185.12,33.88,0.183016421780467,,185.12,8.94,0.0482929991356958,,185.12,8.94,0.0482929991356958,,185.12,6.35,0.0343020743301642
,,185.35,39.37,0.212408956029134,,185.35,3.09,0.0166711626652279,,185.35,-156.54,-0.844564337739412,,185.35,-119.91,-0.646938224979768,,185.35,0.08,0.000431615861882924,,185.35,-103.34,-0.557539789587267,,185.35,-17,-0.0917183706501214,,185.35,-17,-0.0917183706501214,,185.35,8.53,0.0460210412732668
,,185.57,10.92,0.0588457185967559,,185.57,2.16,0.011639812469688,,185.57,-171.86,-0.926119523629897,,185.57,-139.16,-0.749905695963787,,185.57,3.18,0.017136390580374,,185.57,-97.71,-0.526539850191302,,185.57,-0.2,-0.00107776041386,,185.57,-0.2,-0.00107776041386,,185.57,2.53,0.013633669235329
,,185.79,-2.05,-0.0110339630765919,,185.79,0.59,0.00317562839765326,,185.79,-241.41,-1.29937025674148,,185.79,-194.73,-1.04811884385597,,185.79,-0.02,-0.000107648420259433,,185.79,-162.39,-0.874051348296464,,185.79,-17.27,-0.0929544108940201,,185.79,-17.27,-0.0929544108940201,,185.79,6.21,0.0334248344905539
,,186.02,-8.19,-0.0440275239221589,,186.02,5.92,0.031824534996237,,186.02,-201.14,-1.08128158262552,,186.02,-159.09,-0.855230620363402,,186.02,-0.38,-0.00204279109773143,,186.02,-155.22,-0.834426405762821,,186.02,-10.17,-0.054671540694549,,186.02,-10.17,-0.054671540694549,,186.02,5.12,0.0275239221589076
,,186.24,26.17,0.140517611683849,,186.24,3.77,0.0202426975945017,,186.24,34.53,0.185405927835052,,186.24,5.7,0.0306056701030928,,186.24,-3.68,-0.0197594501718213,,186.24,19.54,0.104918384879725,,186.24,-2.66,-0.01428264604811,,186.24,-2.66,-0.01428264604811,,186.24,6.08,0.0326460481099656
,,186.46,88.52,0.474739890593157,,186.46,10.11,0.0542207443955808,,186.46,419.4,2.24927598412528,,186.46,312.9,1.67810790518074,,186.46,3.32,0.0178054274375201,,186.46,343.8,1.84382709428296,,186.46,27.51,0.147538346025957,,186.46,27.51,0.147538346025957,,186.46,0.48,0.00257427866566556
,,186.68,110.14,0.589993571887722,,186.68,6.41,0.0343368330833512,,186.68,495.48,2.65416755946004,,186.68,350.03,1.87502678380116,,186.68,4.45,0.0238375830297836,,186.68,417.53,2.23660809942147,,186.68,51.54,0.276087422326977,,186.68,51.54,0.276087422326977,,186.68,-5.26,-0.0281765588172273
,,186.91,98.76,0.528382644053288,,186.91,9.84,0.0526456583382377,,186.91,343.02,1.83521480926649,,186.91,239.99,1.28398694558879,,186.91,6.91,0.0369696645444331,,186.91,285.78,1.52897116259162,,186.91,40.21,0.215130276603713,,186.91,40.21,0.215130276603713,,186.91,2.39,0.0127869027874378
,,187.13,63.71,0.340458504782771,,187.13,3.72,0.019879228343932,,187.13,91.49,0.488911451931812,,187.13,25.22,0.13477261796612,,187.13,7.11,0.0379949767541281,,187.13,35.92,0.19195211884786,,187.13,15.63,0.083524822316037,,187.13,15.63,0.083524822316037,,187.13,5.53,0.0295516485865441
,,187.35,58.03,0.309741126234321,,187.35,7.23,0.0385908726981585,,187.35,58.35,0.311449159327462,,187.35,14.98,0.0799572991726715,,187.35,10.37,0.0553509474246064,,187.35,13.23,0.0706164931945556,,187.35,5.53,0.029516946890846,,187.35,5.53,0.029516946890846,,187.35,12.77,0.0681611956231652
,,187.58,58.94,0.314212602622881,,187.58,0.61,0.00325194583644312,,187.58,-11.97,-0.0638127732167608,,187.58,-48.91,-0.260742083377759,,187.58,5.83,0.031080072502399,,187.58,-47.02,-0.250666382343533,,187.58,1.57,0.00836976223477983,,187.58,1.57,0.00836976223477983,,187.58,17.41,0.0928137328073355
,,187.8,43.01,0.2290202342918,,187.8,4.79,0.0255058572949947,,187.8,-68.17,-0.362992545260916,,187.8,-102.16,-0.543982960596379,,187.8,4.41,0.023482428115016,,187.8,-60.67,-0.323056443024494,,187.8,-8.81,-0.0469116080937167,,187.8,-8.81,-0.0469116080937167,,187.8,21.78,0.115974440894569
,,188.02,41.87,0.222689075630252,,188.02,1.18,0.00627592809275609,,188.02,-18.03,-0.0958940538240613,,188.02,-65.71,-0.349484097436443,,188.02,5.38,0.0286139772364642,,188.02,-37.29,-0.198329964897351,,188.02,-7.85,-0.0417508775662164,,188.02,-7.85,-0.0417508775662164,,188.02,22.19,0.118019359642591
